Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
114,Michail Antonio,ENG,FW,West Ham,Premier League,30,1990,21.9,10,64,23,35.9,2.92,1.05,0.16,0.43,12.8,0,0,0,11.4,11.4,0.18,-1.4,-1.4,Matches
115,Valentin Antov,BUL,DF,Bologna,Serie A,19,2000,2.6,0,1,0,0.0,0.39,0.0,0.0,0.0,29.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
116,Houssem Aouar,FRA,"MF,FW",Lyon,Ligue 1,22,1998,19.8,7,71,25,35.2,3.59,1.26,0.07,0.2,15.9,0,2,2,10.3,8.8,0.12,-3.3,-3.8,Matches
117,Adil Aouchiche,FRA,"MF,FW",Saint-Étienne,Ligue 1,18,2002,19.2,2,27,12,44.4,1.4,0.62,0.07,0.17,20.7,2,0,0,3.3,3.3,0.12,-1.3,-1.3,Matches
118,Dennis Appiah,FRA,DF,Nantes,Ligue 1,28,1992,17.3,0,7,0,0.0,0.4,0.0,0.0,0.0,18.7,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
119,Aritz Arambarri,ESP,DF,Real Sociedad,La Liga,22,1998,0.3,0,1,0,0.0,3.46,0.0,0.0,0.0,7.0,0,0,0,0.1,0.1,0.14,-0.1,-0.1,Matches
120,Mauro Arambarri,URU,MF,Getafe,La Liga,24,1995,33.1,3,47,9,19.1,1.42,0.27,0.06,0.33,25.5,6,0,0,2.2,2.2,0.05,0.8,0.8,Matches
121,Charles Aránguiz,CHI,MF,Leverkusen,Bundesliga,31,1989,18.5,0,4,2,50.0,0.22,0.11,0.0,0.0,9.7,0,0,0,0.7,0.7,0.17,-0.7,-0.7,Matches
122,Luiz Araújo,BRA,MF,Lille,Ligue 1,24,1996,16.6,4,50,10,20.0,3.01,0.6,0.08,0.4,22.6,1,0,0,3.7,3.7,0.07,0.3,0.3,Matches
123,Néstor Araujo,MEX,DF,Celta Vigo,La Liga,28,1991,27.0,0,6,0,0.0,0.22,0.0,0.0,0.0,10.5,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
124,Ronald Araújo,URU,DF,Barcelona,La Liga,21,1999,16.8,2,12,4,33.3,0.72,0.24,0.17,0.5,10.2,0,0,0,1.6,1.6,0.13,0.4,0.4,Matches
125,Anaitz Arbilla,ESP,DF,Eibar,La Liga,33,1987,31.2,0,27,2,7.4,0.87,0.06,0.0,0.0,26.8,5,0,0,1.2,1.2,0.05,-1.2,-1.2,Matches
