Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
2218,Jaïro Riedewald,NED,MF,Crystal Palace,Premier League,23,1996,20.2,4,0,0,22,5,0,5,24,21,0,0,0,160,14,15,48.3,Matches
2219,Emiliano Rigoni,ARG,"MF,FW",Elche,La Liga,27,1993,12.7,5,0,0,21,8,7,26,5,10,0,0,0,55,6,12,33.3,Matches
2220,Tomás Rincón,VEN,MF,Torino,Serie A,32,1988,31.6,10,1,1,72,45,0,17,30,47,0,0,0,295,45,41,52.3,Matches
2221,Luis Rioja,ESP,MF,Alavés,La Liga,26,1993,23.2,4,0,0,19,28,7,62,31,15,1,0,0,153,20,35,36.4,Matches
2222,Renaud Ripart,FRA,"MF,FW",Nîmes,Ligue 1,27,1993,33.9,3,0,0,29,63,5,44,38,30,0,0,0,264,78,84,48.1,Matches
2223,Andrea Rispoli,ITA,DF,Crotone,Serie A,31,1988,7.2,4,0,0,8,4,1,21,4,5,0,0,0,53,6,6,50.0,Matches
2224,Mihailo Ristić,SRB,DF,Montpellier,Ligue 1,24,1995,24.8,4,0,0,28,19,0,64,29,28,0,1,0,202,29,21,58.0,Matches
2225,Matt Ritchie,SCO,"DF,MF",Newcastle Utd,Premier League,30,1989,15.0,2,0,0,12,19,1,59,23,9,1,0,1,103,15,22,40.5,Matches
2226,Maxence Rivera,FRA,"MF,FW",Saint-Étienne,Ligue 1,18,2002,2.7,0,0,0,2,2,0,6,4,7,0,0,0,21,0,4,0.0,Matches
2227,Emmanuel Rivière,FRA,"FW,MF",Crotone,Serie A,30,1990,7.1,2,0,0,10,17,2,1,4,3,0,0,0,21,11,28,28.2,Matches
2228,Rober,ESP,"DF,MF",Levante,La Liga,25,1995,15.8,3,1,0,19,6,1,1,38,14,0,0,0,137,23,35,39.7,Matches
2229,Roberto,ESP,GK,Valladolid,La Liga,34,1986,13.0,0,1,0,0,0,0,0,0,0,0,0,0,55,0,0,0.0,Matches
2230,Sergi Roberto,ESP,DF,Barcelona,La Liga,28,1992,10.5,1,0,0,7,10,2,7,8,7,0,0,0,89,8,10,44.4,Matches
2231,Tyler Roberts,WAL,"MF,FW",Leeds United,Premier League,21,1999,14.9,3,0,0,23,33,9,9,9,8,0,0,0,99,20,24,45.5,Matches
2232,Andrew Robertson,SCO,DF,Liverpool,Premier League,26,1994,37.6,2,0,0,23,10,8,147,34,28,0,1,0,382,39,27,59.1,Matches
2233,Antonee Robinson,USA,DF,Fulham,Premier League,22,1997,24.0,4,1,0,20,8,1,93,44,27,0,0,0,219,39,28,58.2,Matches
2234,Callum Robinson,IRL,"FW,MF",West Brom,Premier League,25,1995,17.3,0,0,0,3,19,8,35,14,7,2,0,0,104,13,50,20.6,Matches
2235,Jack Robinson,ENG,DF,Sheffield Utd,Premier League,26,1993,9.7,3,0,0,10,6,0,11,16,10,1,1,0,92,28,24,53.8,Matches
2236,Joel Robles,ESP,GK,Betis,La Liga,30,1990,18.0,2,0,0,1,1,0,0,0,0,0,1,0,89,0,0,0.0,Matches
